"subject","stat_group","walking_x_avg","walking_upstairs_x_avg","walking_downstairs_x_avg","sitting_x_avg","standing_x_avg","laying_x_avg","walking_body_acc_x_avg","walking_upstairs_body_acc_x_avg","walking_downstairs_body_acc_x_avg","sitting_body_acc_x_avg","standing_body_acc_x_avg","standing_body_acc_x_avg","walking_body_acc_y_avg","walking_upstairs_body_acc_y_avg","walking_downstairs_body_acc_y_avg","sitting_body_acc_y_avg","standing_body_acc_y_avg","laying_body_acc_y_avg","walking_body_acc_z_avg","walking_upstairs_body_acc_z_avg","walking_downstairs_body_acc_z_avg","sitting_body_acc_z_avg","standing_body_acc_z_avg","laying_body_acc_z_avg","walking_body_gyro_x_avg","walking_upstairs_body_gyro_x_avg","walking_downstairs_body_gyro_x_avg","sitting_body_gyro_x_avg","standing_body_gyro_x_avg","laying_body_gyro_x_avg","walking_body_gyro_y_avg","walking_upstairs_body_gyro_y_avg","walking_downstairs_body_gyro_y_avg","sitting_body_gyro_y_avg","standing_body_gyro_y_avg","laying_body_gyro_y_avg","walking_body_gyro_z_avg","walking_upstairs_body_gyro_z_avg","walking_downstairs_body_gyro_z_avg","sitting_body_gyro_z_avg","standing_body_gyro_z_avg","laying_body_gyro_z_avg"
1,"train",-0.249326508424242,-0.360029635660784,-0.206452124034225,-0.528745131451961,-0.60943354542139,-0.379584599360071,0.0248685134992187,0.0191540819078125,0.0396437621875,0.00683926424992188,0.00922980339601562,NA,0.0233176594898437,0.01781875225,0.0363409121640625,0.108260198835938,0.0269408994015625,0.0633539985859375,0.0323892826828125,0.02994664775,0.0480964008679687,0.0565136401171875,0.0168331292819609,0.150293467476562,0.246363892515625,0.543764993375,0.507660247890625,0.0245993182023437,0.0424036534945312,0.2369262875,0.186558794007813,0.17603115921875,0.246739489164062,0.043195859809375,0.1044727909375,0.096028832453125,0.0752891383125,0.07104290953125,0.086318904875,0.15968421484375,0.0231563037328125,0.28560065859375
2,"test",-0.2954748871459,-0.307714604532977,-0.133769344529768,-0.562468074017291,-0.568091670144795,-0.579366451115569,0.0210298706617969,0.02063894328125,0.0391757056640625,0.0280405526492187,0.010834130025,NA,0.01715442771875,0.0301196268840234,0.016888444734375,0.0522320959140625,0.0189459210194531,0.00733289477257813,0.0196097780859375,0.0280541835625,0.023044129790625,0.0225087573828125,0.0309376655234375,0.00940502439226562,0.0892957609835937,0.4001730720625,0.526251834835938,0.0124764857125,0.152279713164062,0.21058166109375,0.180740472414062,0.224594884667969,0.254396565945313,0.119821444289062,0.0287685704140625,0.00816170056351563,0.028009962109375,0.2880490974375,0.306804944953125,0.0601472843203125,0.045717674984375,0.3518381609375
3,"train",-0.339011773042781,-0.375270318845668,-0.167829773898396,-0.438634197566488,-0.534310978637611,-0.580354898769401,0.0221863426726563,0.0261856614609375,0.032228457175,0.0238229115060547,0.0314547395109375,NA,0.0236065438015625,0.02789786658125,0.0182954251539062,0.17899928734375,0.062773184809375,0.00389245775953125,0.0339799556488281,0.0333610511015625,0.0348262149609375,0.078520998421875,0.0973523207664063,0.0362443919765625,0.351048876359375,0.646766946171875,0.470205176796875,0.0452599996585938,0.129741506742188,0.1591342796875,0.055233251859375,0.167339377765625,0.210066474065625,0.140542641671875,0.165930658101562,0.09673549390625,0.0527617502765625,0.11708981446875,0.100843425453125,0.190864889609375,0.0307817015625,0.294561325
4,"test",-0.399080453039037,-0.367775472563526,-0.267089484490963,-0.52141415854057,-0.487586418711408,-0.507588792489537,0.0142746671117188,0.0239240173296875,0.0422289217734375,0.00711526799453125,0.0249372333578125,NA,0.0331592317148438,0.027363592359375,0.025510768746875,0.08274974496875,0.138074861476563,0.04005855499375,0.0216848693359375,0.02792537640625,0.0303573190914063,0.061835424628125,0.14786693315625,0.0236118295453125,0.443246419296875,0.590131798507812,0.471547790296875,0.015820815971875,0.29020508578125,0.199943556726562,0.053882911796875,0.129936905546875,0.094460168728125,0.0170952593460156,0.349221411574219,0.0299400243708594,0.0304932244960938,0.07996633684375,0.0961343423273437,0.195303432734375,0.0515147678710937,0.30663358828125
5,"train",-0.305842430001961,-0.323519881660196,-0.226779555222816,-0.549195378345989,-0.526006927797861,-0.570194353283779,0.0217619967265625,0.0311902196953125,0.045461749421875,0.00805922493773437,0.0350629383228125,NA,0.0182491511171875,0.0172799634765625,0.0613119554375,0.0838047865445312,0.120588547870313,0.00266517806625,0.0216060909409375,0.0196329270941406,0.0445190668203125,0.0479421484054688,0.124103846271094,0.0248931278850781,0.3116614746875,0.753180144898438,0.593093396846875,0.0196463670015625,0.189060510664062,0.156157708359375,0.0847124715625,0.169625716267969,0.118715752898437,0.02544987521875,0.218532749382813,0.058275757140625,0.0276745328125,0.0471616302873437,0.0538929168125,0.144479932859375,0.031964924678125,0.2783621109375
6,"train",-0.259455927918717,-0.237539524744884,-0.0225575043030303,-0.556081743901082,-0.564000697892157,-0.415721739919073,0.021367796671875,0.0244238286953125,0.03564922,0.00925371627530469,0.03267360518125,NA,0.0342672850078125,0.041165250825,0.042513815953125,0.0485178837664062,0.0329819977265625,0.116705848703906,0.018132995046875,0.0293834199765625,0.0323599647328125,0.0229191369445313,0.0453185505101562,0.00842955568203125,0.407773920703125,0.4462594165625,0.548577890945313,0.0538723109486719,0.047300914940625,0.327326375695312,0.0714339569109375,0.19871699978125,0.17968849153125,0.033164580734375,0.160107959125,0.0984894194273438,0.0489866240234375,0.07404535846875,0.0684027050859375,0.096906304609375,0.038374845328125,0.40438009296875
7,"train",-0.22982370124066,-0.381427502544563,-0.228146722922282,-0.515201920597504,-0.578522572969875,-0.482344613158148,0.0177583384453125,0.0288551765804687,0.03241726890625,0.040419086296875,0.0296974839171875,NA,0.0158245723875,0.0216943657109375,0.026990627575,0.0586026950078125,0.045227468553125,0.0758566717734375,0.021275889296875,0.0258932914453125,0.04007629545,0.04776715,0.06985631375,0.0553647231117187,0.516881467765625,0.344075401885937,0.576002551796875,0.0292280742289063,0.0292013064617187,0.213225689828125,0.0646753712078125,0.166877324953125,0.133899478625,0.2689475046875,0.0620305450679687,0.0171659840390625,0.0368450421484375,0.270869576226562,0.179449819625,0.040060372990625,0.025076874578125,0.36164453515625
8,"train",-0.223451024738271,-0.211283901927629,-0.0750394800488414,-0.546614751339929,-0.506892467805882,-0.450064793040463,0.0224716785546875,0.0401355757109375,0.0366814547054687,0.0217782857535938,0.0142243616296094,NA,0.0464858041484375,0.0397848610703125,0.0175305502864844,0.132610122101563,0.030845947659375,0.0282662291585937,0.037824809703125,0.0296574313671875,0.029399007265625,0.0584824879453125,0.067236015421875,0.0832197546328125,0.513716048390625,0.685362343671875,0.61776853640625,0.0165876616015625,0.121574909049219,0.4225797828125,0.0479157028203125,0.147015086179688,0.2072915028125,0.18654696671875,0.231621805703125,0.11494423484375,0.0653814918828125,0.25648741603125,0.337784047890625,0.113805734578125,0.02576160374375,0.30770348515625
9,"test",-0.3184061455971,-0.388663981059002,-0.250674199265223,-0.489143552546524,-0.534449142686656,-0.522456818413315,0.01566311090625,0.0276054553836719,0.0333101652734375,0.00534883137117188,0.0179126229789063,NA,0.024748679640625,0.0672545886953125,0.0363007635,0.0147565878246875,0.0172662518786719,0.0259725879320312,0.0178246524921875,0.0261396561539062,0.056946707921875,0.199004353148438,0.067688667565625,0.0242892374992188,0.1686320934375,0.347033667578125,0.54857670859375,0.0380567191382813,0.05364522940625,0.203950780671875,0.140780398273437,0.127649275078125,0.0767867259921875,0.37535882890625,0.1980976022875,0.0367057732726562,0.230591096265625,0.216214467085938,0.161231226109375,0.0905871897421875,0.118564597976563,0.167590568359375
10,"test",-0.28285687491533,-0.283682826435009,-0.176915819330927,-0.560418214899465,-0.557730110201961,-0.453438889681818,0.0287627631640625,0.03074840453125,0.0619940136953125,0.00548728159289062,0.00397022984476563,NA,0.0175976703475781,0.0411729027022656,0.0481501004609375,0.0888726496,0.0206855497265625,0.013734627004375,0.032327373446875,0.0678744437117187,0.0434729940078125,0.0305197698828125,0.0299842558046875,0.0142622928085938,0.5690955633375,0.693801497890625,0.563933204390625,0.0144500021441406,0.161633179726562,0.155938343984375,0.072477493515625,0.245611257703125,0.184491912890625,0.31624991765625,0.04276214896875,0.32967792265625,0.0860909774453125,0.0537765919765625,0.0513443576640625,0.21469259375,0.0981308188125,0.240793589921875
